carton_id,seq,sku,serial
SSCC-008501230000001015,1,VG55-NA,KE6018159083
SSCC-008501230000001015,2,VG55-NA,BC6613186091
SSCC-008501230000001015,3,VG55-NA,HU9099603082
SSCC-008501230000001015,4,VG55-NA,JN2819482199
SSCC-008501230000001015,5,VG55-NA,UG5181909378
SSCC-008501230000001015,6,VG55-NA,NY5797543231
SSCC-008501230000001015,7,VG55-NA,SJ8757491186
SSCC-008501230000001015,8,VG55-NA,FY5276018955
SSCC-008501230000001015,9,VG55-NA,WL9797114710
SSCC-008501230000001015,10,VG55-NA,XW4974650752
SSCC-008501230000001022,1,VG55-NA,TD7034236671
SSCC-008501230000001022,2,VG55-NA,FO6842684656
SSCC-008501230000001022,3,VG55-NA,HE1223307924
SSCC-008501230000001022,4,VG55-NA,JA2685995289
SSCC-008501230000001022,5,VG55-NA,UV0786666176
SSCC-008501230000001022,6,VG55-NA,BG1372159010
SSCC-008501230000001022,7,VG55-NA,SE8159013962
SSCC-008501230000001022,8,VG55-NA,UI5957117777
SSCC-008501230000001022,9,VG55-NA,JC2154728038
SSCC-008501230000001022,10,VG55-NA,LE8084148525
